"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","2.2uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3","1","0.1 uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C4,C27","2","100 nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C5,C6,C7,C8,C16,C17,C20,C31","8","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C9","1","4.7nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C12,C13","2","10pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C14","1","100nf","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C15","1","2.2nf","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C18","1","220nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C19","1","4.7uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C21","1","10uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C22","1","10 nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C23","1","220 uF","","","","Capacitor_SMD:CP_Elec_10x10.5","~"
"C24","1","4.7 uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C25","1","10nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C26","1","100 uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C28","1","150 pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C29","1","1500 pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C30","1","1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1","B340A","","","","Diode_SMD:D_SOD-123","~"
"D2","1","MRBS340","","","","Diode_SMD:D_SOD-123","~"
"D3","1","D_Schottky","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D4","1","LED","","","","LED_SMD:LED_0402_1005Metric","~"
"H1,H2,H3,H4","4","MountingHole_Pad","","","","MountingHole:MountingHole_3mm_Pad_Via","~"
"J1","1","Conn_Coaxial","","","","Connector_Coaxial:SMA_Amphenol_901-143_Horizontal","~"
"J2","1","USB_B_Micro","","","","Connector_USB:USB_Micro-B_Amphenol_10118194_Horizontal","~"
"J3,J4,J5,J6,J9","5","Conn_01x03_Pin","","","","Connector_PinHeader_1.00mm:PinHeader_1x03_P1.00mm_Horizontal","~"
"J7","1","Conn_01x05_Pin","","","","Connector_PinHeader_1.00mm:PinHeader_1x05_P1.00mm_Horizontal","~"
"J8","1","Conn_01x02_Pin","","","","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Horizontal","~"
"J10","1","Conn_01x06_Pin","","","","Connector_PinHeader_1.00mm:PinHeader_1x06_P1.00mm_Horizontal","~"
"J13","1","Screw_Terminal_01x02","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~"
"L2,L3","2","2.2kH","","","","Inductor_SMD:L_0805_2012Metric","~"
"L4,L5","2","15 uH","","","","Inductor_SMD:L_7.3x7.3_H4.5","~"
"L6","1","39nH","","","","Inductor_SMD:L_0805_2012Metric","~"
"R1,R3,R4,R10,R15","5","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2","1","2 k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R5,R7","2","10 K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R6","1","3.24 K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R8","1","5.9 K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R9","1","549","","","","Resistor_SMD:R_0805_2012Metric","~"
"R11,R14","2","10 k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R12,R13","2","22","","","","Resistor_SMD:R_0805_2012Metric","~"
"R16","1","26k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R17","1","R","","","","Resistor_SMD:R_0805_2012Metric","~"
"SW1","1","SW_Push","","","","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx31-2LFS","~"
"SW2","1","SW_SPDT","","","","Button_Switch_THT:SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm","~"
"U1","1","STM32F405RGTx","","","","Package_QFP:LQFP-64_10x10mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32f405rg.pdf"
"U2","1","MPU-6000","","","","sky:QFN-24-EP","https://invensense.tdk.com/wp-content/uploads/2015/02/MPU-6000-Datasheet1.pdf"
"U3","1","HMC5883L-TR","","","","sky:XDCR_HMC5883L-TR",""
"U4","1","MS5611-01BA","","","","Package_LGA:LGA-8_3x5mm_P1.25mm","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MS5611-01BA03&DocType=Data+Sheet&DocLang=English"
"U5,U7","2","TPS5430DDA","","","","Package_SO:TI_SO-PowerPAD-8_ThermalVias","http://www.ti.com/lit/ds/symlink/tps5430.pdf"
"U6","1","TPD4S012DRYR","","","","sky:PSON50P145X100X60-6N",""
"U8","1","MAX-M8C","","","","RF_GPS:ublox_MAX","https://www.u-blox.com/sites/default/files/MAX-M8-FW3_DataSheet_%28UBX-15031506%29.pdf"
"U10","1","W25Q128JVS","","","","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","https://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf"
"Y1","1","8 MHz","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~"
